area_code,airbnb_count,long_term_rentals,total_supply,airbnb_ratio
327000,401,987.0,1388.0,28.89048991354467
327100,312,276.0,588.0,53.06122448979592
325800,220,1134.0,1354.0,16.248153618906944
326600,154,42.0,196.0,78.57142857142857
325700,142,453.0,595.0,23.865546218487395
333500,120,,,
333300,95,,,
323000,79,654.0,733.0,10.77762619372442
332700,79,270.0,349.0,22.636103151862464
332501,66,,,
324800,62,1026.0,1088.0,5.698529411764706
323900,61,711.0,772.0,7.901554404145078
330200,54,480.0,534.0,10.112359550561797
332901,52,,,
325302,49,,,
322700,49,549.0,598.0,8.193979933110368
324400,48,969.0,1017.0,4.71976401179941
332000,45,153.0,198.0,22.727272727272727
326100,43,861.0,904.0,4.756637168141593
318300,42,279.0,321.0,13.084112149532709
333100,40,,,
328900,38,1116.0,1154.0,3.2928942807625647
332400,36,90.0,126.0,28.57142857142857
332100,36,156.0,192.0,18.75
323800,36,573.0,609.0,5.911330049261084
327902,33,,,
323300,33,987.0,1020.0,3.2352941176470593
331300,33,156.0,189.0,17.46031746031746
326800,32,816.0,848.0,3.7735849056603774
325200,30,297.0,327.0,9.174311926605505
323200,30,261.0,291.0,10.309278350515463
333201,30,,,
327901,30,,,
316700,28,,,
322200,27,270.0,297.0,9.090909090909092
333400,25,,,
328100,25,111.0,136.0,18.38235294117647
329100,25,486.0,511.0,4.892367906066536
327600,24,738.0,762.0,3.149606299212598
325900,24,342.0,366.0,6.557377049180328
330300,24,141.0,165.0,14.545454545454545
331700,24,213.0,237.0,10.126582278481013
329400,23,585.0,608.0,3.7828947368421053
327400,23,873.0,896.0,2.5669642857142856
320501,22,,,
331200,22,108.0,130.0,16.923076923076923
327200,22,288.0,310.0,7.096774193548387
322900,22,96.0,118.0,18.64406779661017
322400,22,240.0,262.0,8.396946564885496
322100,21,273.0,294.0,7.142857142857142
326400,20,69.0,89.0,22.47191011235955
329700,20,582.0,602.0,3.322259136212625
330000,19,66.0,85.0,22.35294117647059
329600,19,399.0,418.0,4.545454545454546
317800,19,318.0,337.0,5.637982195845697
320600,19,252.0,271.0,7.011070110701106
320200,19,606.0,625.0,3.04
327301,18,,,
332200,18,,,
326900,18,552.0,570.0,3.1578947368421053
319200,18,351.0,369.0,4.878048780487805
316600,18,132.0,150.0,12.0
322600,18,129.0,147.0,12.244897959183673
318700,17,111.0,128.0,13.28125
317000,17,39.0,56.0,30.357142857142854
329900,17,651.0,668.0,2.5449101796407185
328500,17,459.0,476.0,3.571428571428571
330600,16,141.0,157.0,10.191082802547772
331400,16,162.0,178.0,8.98876404494382
321400,15,315.0,330.0,4.545454545454546
321800,15,732.0,747.0,2.0080321285140563
324900,15,,,
331900,15,123.0,138.0,10.869565217391305
317501,14,,,
331100,14,339.0,353.0,3.9660056657223794
316900,14,189.0,203.0,6.896551724137931
319500,14,273.0,287.0,4.878048780487805
323400,14,285.0,299.0,4.682274247491638
320800,13,270.0,283.0,4.593639575971731
323100,13,321.0,334.0,3.8922155688622757
321102,13,,,
321000,13,483.0,496.0,2.620967741935484
319900,12,426.0,438.0,2.73972602739726
319800,12,225.0,237.0,5.063291139240507
328700,12,351.0,363.0,3.3057851239669422
332801,12,,,
326000,12,36.0,48.0,25.0
324501,12,,,
325000,12,309.0,321.0,3.7383177570093453
321302,12,,,
325601,12,,,
319300,12,273.0,285.0,4.2105263157894735
319700,12,306.0,318.0,3.7735849056603774
329001,11,,,
317701,11,,,
318000,11,279.0,290.0,3.793103448275862
325301,11,,,
321500,11,123.0,134.0,8.208955223880597
320100,11,360.0,371.0,2.964959568733154
321701,10,,,
324300,10,159.0,169.0,5.9171597633136095
326701,10,,,
326500,10,297.0,307.0,3.257328990228013
330800,10,162.0,172.0,5.813953488372093
330100,10,369.0,379.0,2.638522427440633
329300,10,189.0,199.0,5.025125628140704
319600,10,228.0,238.0,4.201680672268908
320700,10,456.0,466.0,2.1459227467811157
316800,10,36.0,46.0,21.73913043478261
322500,9,123.0,132.0,6.8181818181818175
320900,8,255.0,263.0,3.041825095057034
321101,8,,,
318600,8,120.0,128.0,6.25
317900,8,273.0,281.0,2.8469750889679712
329200,8,270.0,278.0,2.877697841726619
330500,8,258.0,266.0,3.007518796992481
321901,8,,,
325400,8,117.0,125.0,6.4
328001,8,,,
323500,7,111.0,118.0,5.932203389830509
325500,7,,,
329002,7,,,
327700,7,237.0,244.0,2.8688524590163933
328400,7,243.0,250.0,2.8000000000000003
326301,7,,,
327800,6,240.0,246.0,2.4390243902439024
325100,6,261.0,267.0,2.247191011235955
322000,6,258.0,264.0,2.272727272727273
328300,6,279.0,285.0,2.1052631578947367
324100,6,69.0,75.0,8.0
318501,6,,,
317400,6,144.0,150.0,4.0
318800,6,129.0,135.0,4.444444444444445
316401,5,,,
327500,5,159.0,164.0,3.048780487804878
328200,5,357.0,362.0,1.3812154696132597
331801,5,,,
323600,5,132.0,137.0,3.64963503649635
324001,5,,,
323700,5,141.0,146.0,3.4246575342465753
324200,5,27.0,32.0,15.625
324502,5,,,
324700,5,,,
319400,5,153.0,158.0,3.1645569620253164
318901,5,,,
318401,4,,,
332601,4,,,
332301,4,,,
328800,4,108.0,112.0,3.571428571428571
331600,4,,,
331000,4,108.0,112.0,3.571428571428571
324600,4,192.0,196.0,2.0408163265306123
329500,4,138.0,142.0,2.8169014084507045
322800,3,102.0,105.0,2.857142857142857
318100,3,81.0,84.0,3.571428571428571
317301,3,,,
317600,3,57.0,60.0,5.0
317201,3,,,
320400,3,,,
328600,3,234.0,237.0,1.2658227848101267
321200,3,282.0,285.0,1.0526315789473684
319000,3,207.0,210.0,1.4285714285714286
363800,3,,,
326200,3,,,
329800,3,141.0,144.0,2.083333333333333
331500,2,,,
318402,2,,,
319101,2,,,
321301,2,,,
320300,2,246.0,248.0,0.8064516129032258
330900,2,111.0,113.0,1.7699115044247788
320000,1,,,
316500,1,,,
317100,1,,,
322300,1,45.0,46.0,2.1739130434782608
321600,1,57.0,58.0,1.7241379310344827
330700,1,,,
330400,1,141.0,142.0,0.7042253521126761
